団体コード,都道府県名,市区町村名,開設局数_前回,開設局数_今回,開設局数_差分
462179,鹿児島県,曽於市,2,2,0
462187,鹿児島県,霧島市,10,10,0
462195,鹿児島県,いちき串木野市,3,3,0
462209,鹿児島県,南さつま市,4,4,0
462225,鹿児島県,奄美市,2,2,0
462233,鹿児島県,南九州市,4,4,0
462241,鹿児島県,伊佐市,11,11,0
463922,鹿児島県,薩摩郡さつま町,1,1,0
464040,鹿児島県,出水郡長島町,2,2,0
464520,鹿児島県,姶良郡湧水町,2,2,0
464686,鹿児島県,曽於郡大崎町,4,4,0
464821,鹿児島県,肝属郡東串良町,6,6,0
464929,鹿児島県,肝属郡肝付町,4,4,0
